invoice_number,expected_total,settlement_id,zoho_total,status
AMZN0096258,59.99,24495221541,,missing_in_zoho
AMZN0153025,34.99,24495221541,,missing_in_zoho
AMZN0162615,59.99,24495221541,,missing_in_zoho
AMZN0169840,59.99,24495221541,,missing_in_zoho
AMZN0212429,0.0,24495221541,,missing_in_zoho
AMZN0225835,59.99,24495221541,,missing_in_zoho
AMZN0347405,59.99,24495221541,,missing_in_zoho
AMZN0381043,59.99,24495221541,,missing_in_zoho
AMZN0388246,119.98,24495221541,,missing_in_zoho
AMZN0453049,59.99,24495221541,,missing_in_zoho
AMZN0544239,59.99,24495221541,,missing_in_zoho
AMZN0566651,34.99,24495221541,,missing_in_zoho
AMZN0830629,34.99,24495221541,,missing_in_zoho
AMZN1057842,59.99,24495221541,,missing_in_zoho
AMZN1084235,59.99,24495221541,,missing_in_zoho
AMZN1088208,59.99,24495221541,,missing_in_zoho
AMZN1123433,59.99,24495221541,,missing_in_zoho
AMZN1185034,59.99,24495221541,,missing_in_zoho
AMZN1488267,59.99,24495221541,,missing_in_zoho
AMZN1633804,59.99,24495221541,,missing_in_zoho
AMZN1642662,59.99,24495221541,,missing_in_zoho
AMZN1663413,119.98,24495221541,,missing_in_zoho
AMZN1695428,59.99,24495221541,,missing_in_zoho
AMZN1731413,34.99,24495221541,,missing_in_zoho
AMZN1963427,59.99,24495221541,,missing_in_zoho
AMZN2001835,59.99,24495221541,,missing_in_zoho
AMZN2046639,59.99,24495221541,,missing_in_zoho
AMZN2082669,59.99,24495221541,,missing_in_zoho
AMZN2085822,59.99,24495221541,,missing_in_zoho
AMZN2109021,59.99,24495221541,,missing_in_zoho
AMZN2141003,59.99,24495221541,,missing_in_zoho
AMZN2141044,59.99,24495221541,,missing_in_zoho
AMZN2145048,59.99,24495221541,,missing_in_zoho
AMZN2182632,34.99,24495221541,,missing_in_zoho
AMZN2200218,59.99,24495221541,,missing_in_zoho
AMZN2265866,59.99,24495221541,,missing_in_zoho
AMZN2285052,59.99,24495221541,,missing_in_zoho
AMZN2304207,119.98,24495221541,,missing_in_zoho
AMZN2313806,59.99,24495221541,,missing_in_zoho
AMZN2406665,59.99,24495221541,,missing_in_zoho
AMZN2465869,59.99,24495221541,,missing_in_zoho
AMZN2485865,34.99,24495221541,,missing_in_zoho
AMZN2581828,34.99,24495221541,,missing_in_zoho
AMZN2585804,59.99,24495221541,,missing_in_zoho
AMZN2659409,34.99,24495221541,,missing_in_zoho
AMZN2666632,59.99,24495221541,,missing_in_zoho
AMZN2704219,59.99,24495221541,,missing_in_zoho
AMZN2709851,59.99,24495221541,,missing_in_zoho
AMZN2756210,34.99,24495221541,,missing_in_zoho
AMZN2793026,59.99,24495221541,,missing_in_zoho
AMZN2837823,59.99,24495221541,,missing_in_zoho
AMZN2928204,59.99,24495221541,,missing_in_zoho
AMZN2944264,59.99,24495221541,,missing_in_zoho
AMZN3134615,34.99,24495221541,,missing_in_zoho
AMZN3193069,59.99,24495221541,,missing_in_zoho
AMZN3241041,59.99,24495221541,,missing_in_zoho
AMZN3345056,59.99,24495221541,,missing_in_zoho
AMZN3391452,34.99,24495221541,,missing_in_zoho
AMZN3420261,59.99,24495221541,,missing_in_zoho
AMZN3571400,59.99,24495221541,,missing_in_zoho
AMZN3589859,59.99,24495221541,,missing_in_zoho
AMZN3681842,59.99,24495221541,,missing_in_zoho
AMZN3763410,34.99,24495221541,,missing_in_zoho
AMZN3885804,34.99,24495221541,,missing_in_zoho
AMZN3959459,59.99,24495221541,,missing_in_zoho
AMZN3981015,59.99,24495221541,,missing_in_zoho
AMZN4031465,59.99,24495221541,,missing_in_zoho
AMZN4052246,59.99,24495221541,,missing_in_zoho
AMZN4070629,34.99,24495221541,,missing_in_zoho
AMZN4351435,59.99,24495221541,,missing_in_zoho
AMZN4381035,34.99,24495221541,,missing_in_zoho
AMZN4394628,34.99,24495221541,,missing_in_zoho
AMZN4399437,59.99,24495221541,,missing_in_zoho
AMZN4409862,59.99,24495221541,,missing_in_zoho
AMZN4490604,59.99,24495221541,,missing_in_zoho
AMZN4562613,59.99,24495221541,,missing_in_zoho
AMZN4572204,34.99,24495221541,,missing_in_zoho
AMZN4585016,59.99,24495221541,,missing_in_zoho
AMZN4609019,59.99,24495221541,,missing_in_zoho
AMZN4853866,59.99,24495221541,,missing_in_zoho
AMZN4880250,59.99,24495221541,,missing_in_zoho
