settlement_id,invoice_number,expected_total
24391894961,AMZN2825843,59.99
24391894961,AMZN2918621,59.99
24391894961,AMZN3023422,59.99
24391894961,AMZN3066651,59.99
24391894961,AMZN3149825,60.0
24391894961,AMZN3173825,34.99
24391894961,AMZN3250656,60.0
24391894961,AMZN3317810,60.0
24391894961,AMZN3436254,59.99
24391894961,AMZN3485022,59.99
24391894961,AMZN3845864,59.99
24391894961,AMZN3949017,60.0
24391894961,AMZN4169855,60.0
24391894961,AMZN4263438,59.99
24391894961,AMZN4288202,35.0
24391894961,AMZN4309067,59.99
24391894961,AMZN4383453,59.99
24391894961,AMZN4460228,60.0
24391894961,AMZN4664263,59.99
24391894961,AMZN4685033,34.99
24391894961,AMZN4690607,59.99
24391894961,AMZN4721055,59.99
24391894961,AMZN4901841,59.99
24391894961,AMZN5097815,59.99
24391894961,AMZN5121067,59.99
24391894961,AMZN5216262,59.99
24391894961,AMZN5232255,59.99
24391894961,AMZN5240248,119.98
24391894961,AMZN5257821,59.99
24391894961,AMZN5263404,59.99
24391894961,AMZN5289017,59.99
24391894961,AMZN5313846,59.99
24391894961,AMZN5540245,60.0
24391894961,AMZN5544235,59.99
24391894961,AMZN5584241,59.99
24391894961,AMZN5627437,59.99
24391894961,AMZN5865067,34.99
24391894961,AMZN5887442,59.99
24391894961,AMZN5897056,59.99
24391894961,AMZN5930661,59.99
24391894961,AMZN6056244,59.99
24391894961,AMZN6262637,94.98
24391894961,AMZN6467418,59.99
24391894961,AMZN6696215,59.99
24391894961,AMZN6707413,60.0
24391894961,AMZN6800247,34.99
24391894961,AMZN6860248,59.99
24391894961,AMZN6906636,60.0
24391894961,AMZN7191431,59.99
24391894961,AMZN7285048,59.99
24391894961,AMZN7293847,34.99
24391894961,AMZN7315405,59.99
24391894961,AMZN7362642,59.99
24391894961,AMZN7401864,59.99
24391894961,AMZN7613814,59.99
24391894961,AMZN7785045,59.99
24391894961,AMZN7876222,60.0
24391894961,AMZN7933867,34.99
24391894961,AMZN8097850,59.99
24391894961,AMZN8363444,59.99
24391894961,AMZN8502622,60.0
24391894961,AMZN8520258,59.99
24391894961,AMZN8692211,60.0
24391894961,AMZN8791470,35.0
24391894961,AMZN9080251,59.99
24391894961,AMZN9302633,60.0
24391894961,AMZN9365851,59.99
24391894961,AMZN9387418,119.98
