Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2106 - Merchant Order ID: 702-2182287-6767429
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2107 - Merchant Order ID: 702-2182287-6767429
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 2060 - Merchant Order ID: 701-4226442-4034633
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 2063 - Merchant Order ID: 701-4226442-4034633
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2062 - Merchant Order ID: 701-4226442-4034633
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.51,0.0,Row ID: 2061 - Merchant Order ID: 701-4226442-4034633
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2059 - Merchant Order ID: 701-4226442-4034633
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2035 - Merchant Order ID: 701-9689974-5384266
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2033 - Merchant Order ID: 701-9689974-5384266
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2034 - Merchant Order ID: 701-9689974-5384266
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 2098 - Merchant Order ID: 701-9840033-4738660
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2097 - Merchant Order ID: 701-9840033-4738660
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2099 - Merchant Order ID: 701-9840033-4738660
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2102 - Merchant Order ID: 702-5554083-1444267
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2103 - Merchant Order ID: 702-5554083-1444267
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2101 - Merchant Order ID: 702-5554083-1444267
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2045 - Merchant Order ID: 702-0114532-7859443
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2041 - Merchant Order ID: 702-0114532-7859443
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2042 - Merchant Order ID: 702-0114532-7859443
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 2043 - Merchant Order ID: 702-0114532-7859443
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2044 - Merchant Order ID: 702-0114532-7859443
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2093 - Merchant Order ID: 701-8624041-3100225
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2095 - Merchant Order ID: 701-8624041-3100225
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2094 - Merchant Order ID: 701-8624041-3100225
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2109 - Merchant Order ID: 702-2546708-0658618
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2110 - Merchant Order ID: 702-2546708-0658618
